,User_ID,Movie_ID,Category,Title,Country,Timestamp,Release_Year,Rating,Duration,Genre,Language,DubbedLanguages,Year,preference
25,220,2044,1,1105,528,2021-09-17 10:59:32,2021.0,4.98,1.0,404,7,338,2021.0,0
26,3616,2136,1,4489,447,2021-09-17 03:56:21,2020.0,5.48541777840191,3.0,255,4,702,2021.0,0
27,1870,2230,1,4694,528,2021-09-17 10:34:40,2021.0,5.05,1.0,341,6,187,2021.0,0
28,3658,2324,1,4873,528,2021-09-17 12:49:57,2020.0,3.65,1.0,347,7,618,2021.0,0
29,761,2414,0,5161,528,2021-09-17 21:45:58,2021.0,8.0,110.0,261,8,1,2021.0,1
30,4228,2512,0,5618,528,2021-09-17 16:09:27,2021.0,1.87,105.0,24,3,676,2021.0,0
31,2167,2610,1,437,143,2021-09-16 19:23:20,2018.0,5.06,1.0,358,6,497,2021.0,0
32,3715,2710,0,775,99,2016-12-01 06:48:05,2017.0,5.48541777840191,96.0,255,1,662,2019.0,0
33,2248,2806,1,1080,221,2021-09-16 12:06:50,2021.0,5.48541777840191,3.0,347,6,765,2021.0,0
34,3153,2907,1,6320,528,2021-09-16 16:13:35,2018.0,1.81,1.0,255,4,79,2021.0,0
38,1463,3377,0,3530,528,2021-09-16 05:54:50,2021.0,8.05,23.0,209,2,63,2021.0,1
39,765,3476,0,4351,382,2021-09-16 01:43:57,2012.0,3.83,115.0,0,1,702,2021.0,0
40,1324,3574,1,5586,528,2021-09-16 22:31:52,2020.0,2.93,1.0,318,3,709,2021.0,0
42,873,3768,1,1032,325,2021-09-15 16:36:49,2021.0,7.88,2.0,337,5,588,2021.0,1
47,2894,4408,0,6463,282,2021-09-15 09:37:50,2011.0,8.77,102.0,3,8,497,2021.0,1
48,2547,4503,0,6467,282,2021-09-15 05:31:10,2008.0,3.91,93.0,3,8,7,2021.0,0
49,1963,4597,0,3618,282,2021-09-15 12:20:50,2009.0,3.95,96.0,255,1,689,2021.0,0
50,2953,4658,0,3617,282,2021-09-15 20:04:26,2007.0,8.02,95.0,3,5,497,2021.0,1
51,2475,4741,0,6496,282,2021-09-15 15:42:48,2010.0,5.48541777840191,85.0,3,7,49,2021.0,0
55,2944,5072,0,6525,528,2021-09-15 04:45:53,2021.0,2.7,103.0,97,1,1,2021.0,0
56,3357,5156,1,3721,447,2021-09-15 23:07:13,2021.0,2.26,6.0,347,4,257,2021.0,0
57,3503,5242,1,4152,221,2016-12-01 06:48:05,2014.0,1.1,1.0,225,5,675,2019.0,0
59,3223,5413,0,4415,528,2021-09-15 23:45:11,2021.0,2.54,113.0,217,6,167,2021.0,0
60,1281,5504,1,4729,221,2021-09-15 16:40:25,2015.0,3.32,1.0,337,1,515,2021.0,0
61,3035,5587,1,6575,528,2021-09-15 04:42:41,2021.0,1.68,1.0,311,6,497,2021.0,0
62,2831,5748,1,2566,447,2021-09-14 09:51:53,2021.0,5.68,5.0,78,6,18,2021.0,0
63,906,5833,0,2790,325,2021-09-14 04:52:17,2018.0,9.5,182.0,255,5,142,2021.0,1
64,1247,5919,1,6611,528,2021-09-14 13:47:25,2021.0,4.12,2.0,255,1,48,2021.0,0
65,1369,6004,0,7024,528,2021-09-14 19:11:53,2021.0,5.48541777840191,106.0,97,5,134,2021.0,0
66,2835,6097,1,7034,282,2021-09-14 13:06:45,2013.0,4.26,1.0,255,5,533,2021.0,0
67,638,6170,0,3000,528,2021-09-11 01:34:17,2021.0,8.36,48.0,98,2,245,2021.0,1
68,3790,6326,0,5922,528,2021-09-11 17:05:15,2021.0,3.63,145.0,255,5,304,2021.0,0
69,4161,6403,0,1797,528,2016-12-01 06:48:05,2021.0,9.27,93.0,97,2,497,2019.0,1
70,1213,6473,0,2730,528,2021-09-10 21:35:20,2021.0,3.68,106.0,0,2,452,2021.0,0
71,1060,6561,1,3102,528,2021-09-10 08:41:07,2021.0,9.73,6.0,198,1,669,2021.0,1
72,767,6649,1,3307,528,2021-09-10 04:39:51,2018.0,8.49,1.0,369,4,248,2021.0,1
73,1920,6720,0,3781,325,2021-09-10 17:41:01,2018.0,7.16,147.0,12,7,497,2021.0,1
74,3913,6808,1,4011,528,2021-09-10 11:15:54,2021.0,6.38,1.0,65,6,198,2021.0,0
75,2809,6887,0,4064,528,2021-09-10 05:10:18,2021.0,5.48541777840191,87.0,301,7,729,2021.0,0
76,1348,6969,1,5803,528,2021-09-10 16:35:28,2019.0,7.57,2.0,348,6,169,2021.0,1
77,1755,6995,1,3339,528,2021-09-09 09:27:02,2017.0,5.37,4.0,347,8,36,2021.0,0
78,2156,7005,0,3908,413,2021-09-09 18:44:07,2019.0,1.94,95.0,386,1,691,2021.0,0
79,1523,7015,0,5711,147,2021-09-09 02:59:59,2021.0,3.67,92.0,214,7,26,2021.0,0
80,4304,7031,0,2559,528,2021-09-08 13:22:17,2018.0,5.21,91.0,258,5,398,2021.0,0
81,1715,7039,0,4543,518,2016-12-01 06:48:05,2018.0,4.09,90.0,98,4,497,2019.0,0
82,4317,7046,1,5053,622,2021-09-08 15:59:24,2021.0,5.25,3.0,369,2,45,2021.0,0
83,4324,7057,0,6716,528,2021-09-07 05:34:07,2018.0,7.7,97.0,255,5,338,2021.0,1
84,190,7066,1,2768,528,2021-09-07 13:58:17,2021.0,5.13,2.0,360,1,497,2021.0,0
85,743,7074,1,3742,447,2021-09-07 03:16:23,2021.0,5.56,1.0,87,2,629,2021.0,0
86,0,2,1,3788,183,2021-09-07 12:38:04,2021.0,7.31,1.0,405,1,293,2021.0,1
87,2071,11,0,5812,528,2021-09-07 07:42:25,2019.0,8.57,2.0,347,2,799,2021.0,1
88,17,20,0,6719,528,2021-09-07 22:03:09,2021.0,5.74,80.0,222,4,470,2021.0,0
89,655,30,1,1241,528,2021-09-06 08:47:10,2021.0,9.53,1.0,233,1,704,2021.0,1
90,1650,40,0,4496,528,2021-09-06 20:06:03,2018.0,4.18,117.0,261,1,421,2021.0,0
91,778,49,1,4874,384,2021-09-06 10:47:09,2016.0,3.27,2.0,348,4,737,2021.0,0
92,4244,58,0,429,221,2021-09-05 04:17:36,2017.0,7.24,128.0,12,7,208,2021.0,1
93,830,68,1,949,528,2021-09-05 04:52:11,2021.0,2.58,5.0,358,7,193,2021.0,0
94,962,79,0,125,528,2021-09-04 17:43:09,2018.0,9.1,90.0,111,6,747,2021.0,1
95,2440,89,0,1462,14,2021-09-03 15:22:11,2021.0,5.48541777840191,1.0,363,2,398,2021.0,0
96,1857,99,1,2880,392,2021-09-03 22:59:04,2021.0,7.28,5.0,181,7,248,2021.0,1
97,233,106,1,3411,528,2021-09-03 18:27:42,2021.0,6.13,1.0,228,1,634,2021.0,0
98,513,118,0,6978,528,2021-09-03 08:41:32,2021.0,7.38,119.0,241,3,721,2021.0,1
99,493,126,0,279,528,2021-09-02 10:35:31,2021.0,8.11,110.0,170,4,226,2021.0,1
101,2254,145,0,6025,451,2021-09-02 13:18:22,2009.0,4.75,119.0,266,7,787,2021.0,0
102,1949,164,0,1788,518,2021-09-02 08:57:23,2021.0,8.87,94.0,209,7,738,2021.0,1
103,1733,173,0,2115,221,2021-09-02 04:43:45,2017.0,3.42,106.0,261,2,588,2021.0,0
104,2948,184,0,6031,528,2021-09-02 10:58:01,2020.0,2.7,99.0,258,0,497,2021.0,0
105,4000,194,0,2243,14,2021-09-02 08:49:29,2021.0,2.2,1.0,358,8,586,2021.0,0
106,323,202,1,2348,528,2021-09-02 12:20:09,2019.0,9.8,1.0,318,6,753,2021.0,1
108,1273,220,1,3117,528,2021-09-02 07:49:12,2012.0,7.82,1.0,347,0,497,2021.0,1
109,1219,229,1,4022,384,2021-09-02 22:01:59,2013.0,5.05,3.0,348,3,731,2021.0,0
110,2737,245,0,4522,221,2021-09-02 11:16:02,2020.0,9.22,115.0,258,6,765,2021.0,1
112,1272,284,0,614,528,2021-09-01 18:40:13,2021.0,3.92,63.0,121,6,497,2021.0,0
114,1261,303,1,894,528,2021-09-01 07:16:53,2018.0,4.09,1.0,329,3,478,2021.0,0
115,2094,313,0,1056,380,2021-09-01 18:44:44,2015.0,5.55,121.0,42,1,732,2021.0,0
118,2045,358,0,6049,528,2021-09-01 07:48:24,2010.0,2.6,108.0,266,6,793,2021.0,0
120,303,377,0,1608,13,2021-09-01 15:13:53,2018.0,1.25,100.0,261,1,378,2021.0,0
121,1003,393,0,1881,201,2021-09-01 20:05:16,2007.0,4.13,124.0,241,5,738,2021.0,0
122,2763,404,0,2091,528,2021-09-01 06:40:08,2011.0,9.22,114.0,42,0,583,2021.0,1
126,803,434,1,2360,528,2021-09-01 01:19:48,2018.0,4.96,1.0,369,1,765,2021.0,0
127,2405,444,1,2127,528,2021-09-01 19:22:38,2020.0,5.48541777840191,1.0,428,1,497,2021.0,0
131,1447,480,0,2587,528,2021-09-01 06:38:31,2016.0,8.28,88.0,255,2,691,2021.0,1
132,890,491,1,2769,358,2021-09-01 01:49:19,2016.0,9.35,2.0,347,1,350,2021.0,1
133,1769,501,1,2845,282,2021-09-01 01:22:39,2015.0,4.51,3.0,64,4,142,2021.0,0
135,2887,522,0,2956,528,2021-09-01 21:19:00,2010.0,9.78,105.0,144,5,693,2021.0,1
136,2160,533,0,2957,54,2021-09-01 13:36:11,2018.0,6.98,102.0,386,1,548,2021.0,0
138,2685,554,0,3083,210,2021-09-01 09:45:50,2018.0,2.99,103.0,141,8,453,2021.0,0
141,2792,579,0,3225,558,2021-09-01 22:42:37,2018.0,3.85,118.0,241,7,405,2021.0,0
144,282,605,1,3774,528,2021-09-01 04:14:52,2019.0,9.58,1.0,181,1,452,2021.0,1
146,759,625,0,3821,546,2021-09-01 11:57:37,2008.0,1.34,76.0,98,8,0,2021.0,0
150,148,662,0,4364,528,2021-09-01 18:33:11,2017.0,2.63,120.0,242,1,77,2021.0,0
152,2422,676,0,4619,528,2021-09-01 22:01:37,2015.0,8.16,83.0,218,5,108,2021.0,1
155,2205,720,0,5294,528,2016-12-01 06:48:05,2014.0,9.2,112.0,10,1,435,2019.0,1
158,488,749,1,5933,528,2021-09-01 11:07:52,2021.0,5.48541777840191,1.0,224,0,493,2021.0,0
159,2055,758,0,6857,528,2021-09-01 22:22:55,2018.0,4.08,114.0,134,1,475,2021.0,0
161,2481,773,1,4662,528,2016-12-01 06:48:05,2021.0,8.3,1.0,369,0,497,2019.0,1
162,674,782,0,6721,528,2021-08-31 10:10:41,2021.0,6.98,86.0,222,2,72,2021.0,0
163,1771,788,1,2320,528,2021-08-29 07:22:20,2021.0,5.48541777840191,1.0,318,3,163,2021.0,0
164,1668,798,1,5287,528,2021-08-29 05:51:03,2021.0,1.16,1.0,334,3,488,2021.0,0
165,2576,808,0,46,147,2021-08-28 05:35:23,2008.0,3.52,97.0,157,2,111,2021.0,0
166,3849,818,1,899,528,2021-08-28 14:27:20,2020.0,2.43,2.0,358,2,751,2021.0,0
167,2215,827,0,5744,221,2021-08-28 19:16:17,2021.0,1.46,125.0,255,2,470,2021.0,0
168,3566,837,0,6941,460,2016-12-01 06:48:05,2017.0,7.98,107.0,247,3,515,2019.0,1
169,57,845,0,964,221,2021-08-27 08:00:55,2018.0,2.18,127.0,15,1,212,2021.0,0
170,2580,853,1,1289,1,2021-08-27 12:28:07,2021.0,4.22,1.0,337,3,527,2021.0,0
172,699,868,0,1556,221,2021-08-27 14:02:46,2008.0,5.48541777840191,128.0,255,1,610,2021.0,0
173,403,879,0,6116,528,2021-08-27 12:12:08,2021.0,5.48541777840191,92.0,170,5,89,2021.0,0
174,1115,886,1,2419,528,2021-08-27 08:32:24,2021.0,5.48541777840191,1.0,358,7,434,2021.0,0
175,2812,896,1,2791,325,2021-08-27 10:22:35,2021.0,8.29,1.0,184,8,27,2021.0,1
176,782,906,0,2816,221,2021-08-27 21:22:31,2018.0,3.51,135.0,141,5,203,2021.0,0
177,2912,917,0,6123,221,2021-08-27 10:33:06,2018.0,8.28,124.0,29,1,511,2021.0,1
180,122,942,0,2849,221,2021-08-27 22:07:58,2016.0,2.12,124.0,157,8,176,2021.0,0
181,450,952,0,2850,221,2021-08-27 20:16:30,2012.0,4.85,136.0,157,7,498,2021.0,0
183,925,971,0,2866,221,2021-08-27 21:22:34,2010.0,7.53,112.0,248,1,497,2021.0,1
184,781,977,0,3388,221,2021-08-27 04:54:21,2008.0,6.85,119.0,35,6,239,2021.0,0
185,2435,988,0,3798,221,2016-12-01 06:48:05,2018.0,8.68,133.0,257,3,488,2019.0,1
186,3146,998,0,3799,221,2021-08-27 02:33:28,2013.0,5.48541777840191,142.0,257,1,765,2021.0,0
187,3116,1007,0,4140,221,2021-08-27 05:07:55,2011.0,6.95,93.0,279,8,459,2021.0,0
188,3360,1017,0,4141,221,2021-08-27 21:42:52,2014.0,2.15,113.0,279,1,307,2021.0,0
189,883,1028,1,4195,246,2021-08-27 16:59:50,2018.0,5.3,2.0,337,4,579,2021.0,0
190,1606,1039,1,4124,528,2021-08-27 10:18:17,2021.0,5.72,3.0,225,4,497,2021.0,0
191,3024,1048,0,4335,528,2021-08-27 03:12:46,2021.0,1.25,124.0,34,7,159,2021.0,0
192,1899,1058,0,4533,221,2021-08-27 11:25:09,2007.0,1.63,116.0,24,6,158,2021.0,0
193,4297,1068,0,4538,221,2016-12-01 06:48:05,2011.0,8.55,106.0,140,6,71,2019.0,1
194,919,1076,0,5127,221,2021-08-27 16:50:55,2011.0,3.58,145.0,141,2,568,2021.0,0
195,4269,1085,1,5804,528,2021-08-27 05:05:56,2021.0,4.12,1.0,377,2,355,2021.0,0
196,1644,1095,1,1555,282,2021-08-26 17:12:06,2021.0,6.76,1.0,60,2,765,2021.0,0
197,302,1105,1,1730,528,2021-08-26 20:48:37,2021.0,2.99,4.0,358,3,661,2021.0,0
198,949,1115,0,6143,528,2021-08-25 18:51:13,2018.0,2.74,93.0,209,5,652,2021.0,0
199,958,1126,1,1169,528,2021-08-25 21:56:25,2021.0,4.79,1.0,202,0,182,2021.0,0
200,1926,1136,0,2650,528,2021-08-25 14:54:17,2021.0,1.53,1.0,175,5,702,2021.0,0
201,913,1147,1,3456,528,2021-08-25 11:22:17,2018.0,9.25,1.0,310,1,744,2021.0,1
202,300,1158,1,3823,528,2021-08-25 18:35:05,2021.0,9.46,1.0,339,5,293,2021.0,1
203,249,1168,1,4029,528,2021-08-25 04:57:44,2021.0,5.03,1.0,335,3,106,2021.0,0
204,1112,1179,0,4193,528,2021-08-25 17:42:42,2020.0,2.88,95.0,251,1,586,2021.0,0
205,562,1190,0,5461,622,2021-08-25 11:16:24,2014.0,5.24,108.0,0,5,124,2021.0,0
206,1549,1201,0,6154,528,2021-08-25 14:00:56,2020.0,1.9,90.0,274,3,143,2021.0,0
207,2240,1210,0,5547,528,2021-08-25 09:42:40,2021.0,4.58,86.0,222,0,417,2021.0,0
208,437,1217,0,5686,528,2016-12-01 06:48:05,2021.0,1.66,92.0,111,5,53,2019.0,0
209,4333,1227,1,6894,528,2021-08-25 08:12:50,2019.0,7.36,3.0,369,3,657,2021.0,1
210,1045,1237,0,1239,447,2021-08-24 05:27:29,2021.0,3.48,82.0,221,2,532,2021.0,0
211,1464,1246,1,3754,528,2021-08-24 13:54:18,2021.0,5.69,1.0,358,6,524,2021.0,0
212,3911,1256,0,6720,528,2016-12-01 06:48:05,2021.0,1.12,70.0,220,2,703,2019.0,0
213,3142,1264,0,864,528,2016-12-01 06:48:05,2021.0,5.72,122.0,281,6,316,2019.0,0
214,107,1269,0,865,528,2021-08-23 10:13:15,2021.0,1.03,122.0,281,8,698,2021.0,0
215,1095,1287,0,866,528,2021-08-23 20:36:06,2021.0,5.51,122.0,281,8,89,2021.0,0
216,394,1296,0,5707,528,2021-08-23 21:40:53,2021.0,5.48541777840191,84.0,255,0,497,2021.0,0
217,4028,1317,1,1212,528,2021-08-20 07:17:18,2021.0,1.41,1.0,334,6,712,2021.0,0
218,1433,1333,0,2113,528,2021-08-20 17:08:25,2018.0,2.1,96.0,261,1,417,2021.0,0
219,1145,1342,1,2823,528,2021-08-20 04:37:40,2021.0,5.48541777840191,1.0,225,3,621,2021.0,0
220,3445,1351,0,3180,528,2016-12-01 06:48:05,2021.0,3.75,115.0,258,1,774,2019.0,0
221,1162,1360,0,4813,528,2021-08-20 22:20:11,2021.0,7.85,110.0,22,4,8,2021.0,1
222,1171,1366,1,5040,528,2021-08-20 17:37:04,2021.0,5.34,1.0,405,1,573,2021.0,0
223,1301,1371,0,6165,528,2021-08-20 20:35:25,2021.0,8.63,88.0,104,5,728,2021.0,1
224,4157,1379,0,139,528,2021-08-19 11:24:04,2020.0,9.47,102.0,258,5,63,2021.0,1
225,3716,1387,0,6166,528,2021-08-19 20:42:37,2011.0,5.48541777840191,91.0,251,1,138,2021.0,0
226,534,1398,0,791,528,2021-08-18 07:01:17,2021.0,3.34,105.0,301,2,328,2021.0,0
228,2178,1416,1,2025,528,2021-08-18 14:29:00,2021.0,4.94,5.0,347,1,296,2021.0,0
229,3131,1426,0,3282,528,2021-08-18 02:07:10,2021.0,4.84,86.0,214,2,513,2021.0,0
230,3874,1435,0,3685,528,2021-08-18 14:24:15,2020.0,5.48541777840191,140.0,255,0,190,2021.0,0
231,3513,1446,0,3727,528,2021-08-18 03:29:25,2015.0,2.31,133.0,258,7,212,2021.0,0
232,1897,1455,0,3856,528,2021-08-18 15:29:38,2020.0,5.3,92.0,141,0,788,2021.0,0
233,1956,1466,0,3891,231,2021-08-18 18:12:48,2018.0,6.34,82.0,141,0,167,2021.0,0
234,2925,1476,1,5109,528,2021-08-18 17:30:17,2020.0,1.6,1.0,255,0,711,2021.0,0
235,3013,1484,0,5565,528,2021-08-18 15:31:35,2021.0,5.48541777840191,97.0,160,2,397,2021.0,0
236,2150,1493,0,6722,528,2021-08-18 11:35:36,2021.0,3.83,78.0,220,1,136,2021.0,0
237,1281,1501,1,6177,528,2021-08-16 11:40:25,2016.0,6.91,2.0,347,5,497,2021.0,0
238,1909,1511,0,6807,528,2021-08-16 22:28:32,2014.0,9.35,94.0,152,8,20,2021.0,1
239,1776,1520,1,4168,282,2021-08-15 03:47:00,2018.0,7.48,1.0,61,4,631,2021.0,1
240,1500,1531,1,5077,221,2021-08-15 14:33:26,2020.0,8.97,1.0,225,1,57,2021.0,1
241,1811,1551,0,6004,528,2021-08-15 17:25:21,2018.0,5.43,97.0,255,4,533,2021.0,0
242,2243,1558,1,6947,268,2021-08-15 10:04:18,2015.0,6.08,2.0,255,2,133,2021.0,0
243,2951,1569,0,664,269,2021-08-13 23:19:12,2021.0,7.2,110.0,0,3,497,2021.0,1
244,1452,1577,1,892,528,2021-08-13 22:13:36,2021.0,2.05,1.0,415,2,415,2021.0,0
245,3871,1583,1,1742,528,2021-08-13 14:42:49,2018.0,6.91,5.0,347,1,45,2021.0,0
246,2198,1590,1,6188,147,2021-08-13 15:28:55,2021.0,5.48541777840191,1.0,184,1,595,2021.0,0
247,2061,1610,1,5317,2,2021-08-13 10:19:26,2021.0,5.22,1.0,181,0,329,2021.0,0
248,2252,1620,1,6741,392,2021-08-13 20:24:34,2021.0,6.4,2.0,316,2,429,2021.0,0
249,3592,1631,1,313,286,2021-08-12 12:40:08,2021.0,5.48541777840191,1.0,342,6,229,2021.0,0
250,301,1642,0,3028,114,2021-08-12 06:04:19,2021.0,7.29,64.0,389,4,275,2021.0,1
251,441,1652,0,6195,594,2021-08-12 14:54:25,2021.0,6.32,59.0,1,1,586,2021.0,0
252,1807,1660,1,592,528,2021-08-11 16:55:45,2018.0,5.48541777840191,1.0,369,1,79,2021.0,0
253,2076,1670,0,6198,325,2021-08-11 23:28:34,2016.0,2.37,101.0,255,4,417,2021.0,0
254,3307,1680,0,2881,303,2021-08-11 12:49:20,2020.0,6.47,127.0,248,2,528,2021.0,0
255,3757,1691,0,3375,41,2021-08-11 03:40:31,2021.0,3.01,90.0,255,1,425,2021.0,0
256,2223,1699,0,5320,518,2021-08-11 00:40:21,2021.0,7.36,114.0,170,3,641,2021.0,1
257,3081,1708,0,6202,420,2021-08-11 11:01:13,2018.0,2.03,108.0,255,4,176,2021.0,0
258,3784,1718,1,1933,528,2016-12-01 06:48:05,2021.0,4.06,2.0,347,1,497,2019.0,0
259,312,1728,0,2421,528,2021-08-10 00:35:57,2021.0,7.96,1.0,318,1,311,2021.0,1
260,299,1737,1,2906,114,2021-08-10 05:58:30,2018.0,8.48,1.0,181,2,594,2021.0,1
261,4029,1749,1,5083,384,2021-08-10 23:00:16,2019.0,4.11,1.0,319,8,646,2021.0,0
262,250,1759,0,6723,528,2021-08-10 10:30:22,2021.0,2.86,70.0,222,6,470,2021.0,0
263,1508,1769,1,4338,282,2021-08-09 20:26:58,2021.0,9.62,1.0,60,0,686,2021.0,1
264,318,1780,0,4107,447,2021-08-08 17:44:35,2012.0,7.85,98.0,140,2,461,2021.0,1
265,2267,1791,0,4603,376,2021-08-08 17:36:24,2021.0,8.26,86.0,255,5,497,2021.0,1
266,1995,1800,0,4846,528,2016-12-01 06:48:05,2018.0,3.0,139.0,255,5,586,2019.0,0
267,1720,1807,0,5483,528,2021-08-07 05:59:58,2021.0,4.82,111.0,10,8,320,2021.0,0
268,2225,1818,1,2285,267,2021-08-06 13:45:15,2021.0,5.48541777840191,1.0,399,0,189,2021.0,0
269,3430,1829,1,3637,221,2021-08-06 05:18:01,2021.0,1.98,1.0,428,7,586,2021.0,0
270,4090,1840,0,4103,325,2021-08-06 21:00:25,2020.0,2.99,115.0,141,8,31,2021.0,0
271,2104,1853,0,5624,147,2021-08-06 14:30:33,2021.0,3.73,102.0,276,8,518,2021.0,0
272,4229,1862,0,6780,81,2021-08-06 21:17:57,2021.0,9.97,100.0,121,1,230,2021.0,1
273,2210,1873,0,1077,221,2021-08-05 00:06:11,2013.0,4.8,135.0,15,5,650,2021.0,0
274,160,1884,0,1157,43,2021-08-05 16:48:47,2018.0,7.28,69.0,214,1,524,2021.0,1
276,1602,1903,0,2888,447,2021-08-05 02:34:28,2021.0,3.21,97.0,209,0,497,2021.0,0
278,1122,1930,0,280,528,2021-08-04 05:00:15,2021.0,8.94,115.0,274,2,441,2021.0,1
279,752,1938,0,6224,528,2021-08-04 04:32:35,2012.0,6.99,115.0,366,1,124,2021.0,0
280,921,1949,1,6226,528,2021-08-04 07:11:41,2021.0,5.06,3.0,369,1,260,2021.0,0
281,2883,1958,1,1189,528,2021-08-04 01:44:58,2018.0,8.38,1.0,174,5,640,2021.0,1
282,365,1968,1,1225,303,2021-08-04 11:23:48,2021.0,5.48541777840191,2.0,325,7,9,2021.0,0
283,272,1979,0,1230,528,2021-08-04 06:53:35,2021.0,3.15,1.0,369,6,384,2021.0,0
284,1817,1987,1,522,425,2021-08-03 13:03:21,2009.0,6.1,1.0,319,3,611,2021.0,0
286,1685,2006,0,2451,605,2021-08-03 19:31:34,2010.0,3.34,106.0,255,1,759,2021.0,0
287,2023,2016,1,3750,425,2021-08-03 13:23:59,2011.0,2.89,1.0,318,5,557,2021.0,0
288,1296,2027,0,4056,528,2021-08-03 10:22:40,2021.0,5.27,102.0,218,2,320,2021.0,0
289,1705,2036,0,4527,528,2021-08-03 18:24:36,2021.0,2.21,97.0,214,7,364,2021.0,0
291,1758,2053,1,5840,528,2021-08-03 01:25:40,2021.0,6.2,1.0,224,8,239,2021.0,0
292,1731,2063,1,5941,425,2021-08-03 22:20:44,2013.0,5.61,1.0,318,7,124,2021.0,0
293,726,2074,1,7026,425,2016-12-01 06:48:05,2008.0,5.48541777840191,1.0,318,0,684,2019.0,0
294,1597,2085,0,73,528,2016-12-01 06:48:05,2012.0,7.59,7.0,404,2,515,2019.0,1
295,1002,2096,1,79,268,2021-08-01 10:57:27,2020.0,5.48541777840191,3.0,347,6,749,2021.0,0
298,446,2120,0,693,622,2021-08-01 15:36:43,2007.0,8.22,114.0,42,1,365,2021.0,1
299,3894,2128,0,884,49,2021-08-01 19:10:24,2016.0,7.47,90.0,0,3,675,2021.0,1
301,1800,2147,0,1178,546,2021-08-01 23:29:40,2009.0,8.41,90.0,106,0,783,2021.0,1
302,1543,2157,1,1336,528,2021-08-01 03:30:44,2020.0,4.69,1.0,63,4,497,2021.0,0
305,2794,2181,0,1816,528,2021-08-01 22:11:07,2018.0,2.21,116.0,266,4,176,2021.0,0
307,3432,2199,1,1892,528,2021-08-01 16:57:46,2010.0,2.03,5.0,422,7,430,2021.0,0
308,1949,2210,0,2055,546,2021-08-01 11:13:13,2007.0,5.48541777840191,99.0,170,3,776,2021.0,0
309,3690,2221,1,2381,282,2016-12-01 06:48:05,2018.0,7.51,6.0,60,0,316,2019.0,1
310,888,2231,0,2426,528,2021-08-01 15:57:12,2021.0,6.96,96.0,248,3,131,2021.0,0
315,1605,2286,0,3822,546,2021-08-01 08:07:54,2018.0,5.58,85.0,98,2,725,2021.0,0
316,1920,2294,0,3986,528,2021-08-01 00:07:01,2008.0,9.21,112.0,10,1,425,2021.0,1
317,641,2302,0,3993,412,2021-08-01 15:39:00,2018.0,3.19,91.0,255,1,551,2021.0,0
318,1960,2313,0,4018,518,2021-08-01 03:28:46,2019.0,7.26,91.0,134,2,302,2021.0,1
322,633,2350,0,5146,555,2021-08-01 13:19:34,2016.0,2.17,105.0,138,7,150,2021.0,0
